,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7440718173980713,0.015728030243047492,0.004800224304199218,0.00018017982151927658,5,2,"{'max_depth': 5, 'n_estimators': 2}",-0.26518502145099504,-0.27092160952976546,-0.2676027079800996,-0.2663581923320369,-0.2697457751156804,-0.2679626612817155,0.002114428513738244,60
1,1.4594691753387452,0.003395981178951112,0.00668940544128418,7.780699647568179e-05,5,4,"{'max_depth': 5, 'n_estimators': 4}",-0.26444938621414843,-0.2707338254884106,-0.2669981328124751,-0.26616381180704046,-0.2695247886131389,-0.26757398898704265,0.0022747983821745196,59
2,2.9771932125091554,0.020987797402588257,0.010676860809326172,0.00013764167023572833,5,8,"{'max_depth': 5, 'n_estimators': 8}",-0.2652828350113765,-0.268784034940429,-0.2651305211615787,-0.2656472233067566,-0.2692137272617932,-0.2668116683363868,0.0017988683380349643,54
3,6.111725330352783,0.024381638844322977,0.019593095779418944,0.0017437722312000966,5,16,"{'max_depth': 5, 'n_estimators': 16}",-0.26582938805253864,-0.26875894180506754,-0.26495323731095205,-0.2649651155077452,-0.26909757650573163,-0.26672085183640704,0.0018332708320628463,53
4,12.14000301361084,0.05117064876606055,0.036453962326049805,0.003366881813454351,5,32,"{'max_depth': 5, 'n_estimators': 32}",-0.2662655414253168,-0.2694045180274388,-0.2655176715761762,-0.2643493028092445,-0.2686481118517767,-0.26683702913799057,0.0019041063343209319,55
5,23.906520938873292,0.27282435038113556,0.06512479782104492,0.00046027629917630317,5,64,"{'max_depth': 5, 'n_estimators': 64}",-0.2663373677997547,-0.2691549814044209,-0.26592997890095477,-0.2646059261289339,-0.2684175050605414,-0.2668891518589212,0.001667779672707546,56
6,35.515502309799196,0.14454699701563742,0.09829773902893066,0.0042253798626544084,5,96,"{'max_depth': 5, 'n_estimators': 96}",-0.26670523319569833,-0.2693046884794668,-0.2659045243721922,-0.26461870186620107,-0.26802219080175205,-0.26691106774306206,0.0016293835283951164,57
7,47.00045623779297,0.1845704154150949,0.12797236442565918,0.0016282778942118684,5,128,"{'max_depth': 5, 'n_estimators': 128}",-0.2669983898674554,-0.2693964089197232,-0.26601780438001876,-0.26478574713577013,-0.26805524281960535,-0.2670507186245146,0.0015944326765142337,58
8,1.472850465774536,0.0021399145821732364,0.006836605072021484,4.1044407580978295e-05,10,2,"{'max_depth': 10, 'n_estimators': 2}",-0.22455714874357485,-0.22334150235457742,-0.22341656351152794,-0.22213060692318082,-0.2233686813090437,-0.22336290056838096,0.0007678733416310771,46
9,2.923175001144409,0.0010707627484454996,0.011035013198852538,8.948537567300715e-05,10,4,"{'max_depth': 10, 'n_estimators': 4}",-0.2194871396824203,-0.21841693445776708,-0.2187963258020417,-0.21697393924826225,-0.220245852586244,-0.21878403835534707,0.0010993295549760196,45
10,5.822339582443237,0.0035759391032165293,0.019157791137695314,9.629733198257475e-05,10,8,"{'max_depth': 10, 'n_estimators': 8}",-0.2168601622225721,-0.2165115905167775,-0.21605282242581486,-0.21495350937329857,-0.21753557776115812,-0.2163827324599242,0.000863147163304713,43
11,11.886778593063354,0.2450501460444408,0.03596515655517578,0.00038746730626664226,10,16,"{'max_depth': 10, 'n_estimators': 16}",-0.21602931641773873,-0.21570617796514588,-0.2145161807581341,-0.2142268458943058,-0.21600315314504662,-0.21529633483607422,0.0007690607899635478,42
12,23.834157943725586,0.17371479240532073,0.06963996887207032,0.0019250866739149433,10,32,"{'max_depth': 10, 'n_estimators': 32}",-0.2151796634980902,-0.2152259168878799,-0.21400091303715812,-0.2134335355323023,-0.21539210817052826,-0.21464642742519174,0.0007828133991913737,41
13,48.062705993652344,1.4406566901659243,0.13999300003051757,0.008149386105007693,10,64,"{'max_depth': 10, 'n_estimators': 64}",-0.21478470392861923,-0.21455032864051404,-0.2139236187243598,-0.21324701145553046,-0.21490088134878735,-0.21428130881956217,0.000617634464761618,40
14,69.87561302185058,0.2165747130645127,0.19977450370788574,0.005180510176284481,10,96,"{'max_depth': 10, 'n_estimators': 96}",-0.21485912722588088,-0.21436249622046583,-0.21390614677529096,-0.21329148545100826,-0.21480196516856265,-0.21424424416824173,0.0005873970474917825,39
15,98.68407645225525,0.1321649683044034,0.27771992683410646,0.0011673945712927423,10,128,"{'max_depth': 10, 'n_estimators': 128}",-0.21475589390362818,-0.21423304135637825,-0.21381113465824841,-0.2133648757862599,-0.214898485481693,-0.21421268623724155,0.0005737309011674427,38
16,2.2212029457092286,0.005697807435075716,0.010711908340454102,9.771101969188971e-05,15,2,"{'max_depth': 15, 'n_estimators': 2}",-0.227418731942933,-0.22447790840281,-0.22596461326687864,-0.22610263569260042,-0.22928426691648682,-0.22664963124434173,0.0016135460869163903,47
17,4.410581588745117,0.009328411040076838,0.018637323379516603,0.0001358709474524995,15,4,"{'max_depth': 15, 'n_estimators': 4}",-0.2105532786112891,-0.20843041145842978,-0.21020275551758089,-0.20988862974208453,-0.21236613545283609,-0.2102882421564441,0.0012654183358246688,37
18,8.790537214279174,0.015197874984135629,0.0342522144317627,0.00013587795904060413,15,8,"{'max_depth': 15, 'n_estimators': 8}",-0.20194721879837502,-0.201719843437771,-0.20266965461191833,-0.20141676108929354,-0.20377149653375545,-0.20230499489422266,0.0008417801402300475,31
