,method,MSE,MAE,MR,adj R-squared
0,LinearRegression,1.566066389749369e+21,30279372891.128063,7100327449.215753,-1.563240973179227e+21
1,RandomForest,0.17384226822921645,0.3183276412347549,-0.006083455997336734,0.8265511156786098
2,XGBoost,0.1688554278204306,0.31578092959636306,-0.003086298588392547,0.8315266714741213
3,LightGBM,0.17245486589249462,0.3200709457640671,0.006978841722832101,0.8279353784925993
4,HybridModel,0.16392505754460707,0.3112166729912321,-0.0007303124777422031,0.8364458849217125
5,Stacking,0.1644268691690309,0.3116388866614943,-0.004966653495497501,0.8411289605816836
